,video_Id,video_viewCount,video_likeCount,video_favoriteCount,video_commentCount
55,fxjFr54LLOw,784790,23432,0,576
56,tI9fRLNmNkY,579783,19113,0,448
57,iQRe7OHtHXg,751467,30103,0,931
58,8tBuAM0XHmY,421543,17680,0,1631
59,p2RCPyv95SE,215332,14148,0,632
60,dVtnSPZn6BU,380694,14158,0,631
61,glHQPkrcf8A,799160,25017,0,811
62,er752AxyziE,526297,21630,0,589
63,urLoa8PkQpU,1212253,27755,0,1145
64,K7uvd1Muc80,591282,23707,0,1001
65,lSF--3zgjKQ,201323,12549,0,706
66,Z7P-t_yc8gE,1097153,33343,0,1065
67,OEB_UviHDq0,1072805,37001,0,1066
68,UL9dWIy2WZs,386519,16836,0,827
69,B_AY4a3_-GQ,2156564,62972,0,3649
70,TCboTQr8Ecg,604819,22318,0,851
71,H3Z7bFXfMAU,565626,27255,0,3087
72,JkIxbnhMrTw,472316,19163,0,1090
